DATE,RGDP,LN RGDP,GR-P RGDP,GR-L RGDP,GDPDEF,GDPDEF N,NGDP,,,,,
1/1/47,2034.45,7.617980791,,,11.952,0.11952,243.157464,,,,,
4/1/47,2029.024,7.615310168,-0.00266706,-0.002670623,12.122,0.12122,245.9582893,,,,,
7/1/47,2024.834,7.613243001,-0.002065032,-0.002067167,12.326,0.12326,249.5810388,,,,,
10/1/47,2056.508,7.628764678,0.015642764,0.015521677,12.63,0.1263,259.7369604,,,,,
1/1/48,2087.442,7.643694672,0.015042003,0.014929994,12.731,0.12731,265.752241,,,,,
4/1/48,2121.899,7.660066721,0.016506806,0.01637205,12.845,0.12845,272.5579266,,,,,
7/1/48,2134.056,7.665779673,0.005729302,0.005712952,13.083,0.13083,279.1985465,,,,,
10/1/48,2136.44,7.666896171,0.001117122,0.001116498,13.123,0.13123,280.3650212,,,,,
1/1/49,2107.001,7.653020888,-0.013779465,-0.013875283,13.053,0.13053,275.0268405,,,,,
4/1/49,2099.814,7.649604048,-0.003411009,-0.00341684,12.923,0.12923,271.3589632,,,,,
7/1/49,2121.493,7.659875365,0.010324248,0.010271317,12.863,0.12863,272.8876446,,,,,
10/1/49,2103.688,7.651447274,-0.008392674,-0.008428091,12.864,0.12864,270.6184243,,,,,
1/1/50,2186.365,7.689995626,0.03930098,0.038548353,12.845,0.12845,280.8385843,,,,,
4/1/50,2253.045,7.720037914,0.03049811,0.030042287,12.888,0.12888,290.3724396,,,,,
7/1/50,2340.112,7.75795407,0.038644146,0.037916157,13.168,0.13168,308.1459482,,,,,
10/1/50,2384.92,7.77692086,0.019147801,0.018966789,13.415,0.13415,319.937018,,,,,
1/1/51,2417.311,7.790411044,0.013581588,0.013490185,13.9,0.139,336.006229,,,,,
4/1/51,2459.196,7.807589746,0.017327104,0.017178702,13.992,0.13992,344.0907043,,,,,
7/1/51,2509.88,7.827990222,0.020609988,0.020400476,14,0.14,351.3832,,,,,
10/1/51,2515.408,7.830190296,0.002202496,0.002200074,14.16,0.1416,356.1817728,,,,,
1/1/52,2542.286,7.840818955,0.010685344,0.010628659,14.153,0.14153,359.8097376,,,,,
4/1/52,2547.762,7.842970606,0.002153967,0.00215165,14.17,0.1417,361.0178754,,,,,
7/1/52,2566.153,7.850163169,0.007218492,0.007192564,14.329,0.14329,367.7040634,,,,,
10/1/52,2650.431,7.882477547,0.032842157,0.032314378,14.368,0.14368,380.8139261,,,,,
1/1/53,2699.699,7.900895564,0.018588675,0.018418017,14.371,0.14371,387.9737433,,,,,
4/1/53,2720.566,7.908595226,0.00772938,0.007699662,14.4,0.144,391.761504,,,,,
7/1/53,2705.258,7.902952566,-0.00562677,-0.00564266,14.46,0.1446,391.1803068,,,,,
10/1/53,2664.302,7.887697389,-0.015139406,-0.015255177,14.487,0.14487,385.9774307,,,,,
1/1/54,2651.566,7.882905688,-0.004780239,-0.004791701,14.533,0.14533,385.3520868,,,,,
4/1/54,2654.456,7.883995016,0.001089922,0.001089328,14.546,0.14546,386.1171698,,,,,
7/1/54,2684.434,7.895225184,0.011293463,0.011230168,14.565,0.14565,390.9878121,,,,,
10/1/54,2736.96,7.914603094,0.019566881,0.01937791,14.605,0.14605,399.733008,,,,,
1/1/55,2815.134,7.942765142,0.028562347,0.028162047,14.673,0.14673,413.0646118,,,,,
4/1/55,2860.942,7.95890622,0.01627205,0.016141079,14.734,0.14734,421.5311943,,,,,
7/1/55,2899.578,7.972320488,0.013504643,0.013414268,14.837,0.14837,430.2103879,,,,,
10/1/55,2916.985,7.978305828,0.006003287,0.005985339,14.984,0.14984,437.0810324,,,,,
1/1/56,2905.656,7.974414461,-0.003883805,-0.003891366,15.134,0.15134,439.741979,,,,,
4/1/56,2929.666,7.982643702,0.008263194,0.008229241,15.224,0.15224,446.0123518,,,,,
7/1/56,2927.034,7.981744903,-0.000898396,-0.0008988,15.415,0.15415,451.2022911,,,,,
10/1/56,2975.209,7.998069568,0.01645864,0.016324665,15.477,0.15477,460.4730969,,,,,
1/1/57,2994.259,8.004452068,0.006402912,0.0063825,15.689,0.15689,469.7692945,,,,,
4/1/57,2987.699,8.002258805,-0.002190859,-0.002193263,15.799,0.15799,472.026565,,,,,
7/1/57,3016.979,8.012011279,0.009800184,0.009752474,15.893,0.15893,479.4884725,,,,,
10/1/57,2985.775,8.001614624,-0.010342797,-0.010396655,15.904,0.15904,474.857656,,,,,
1/1/58,2908.281,7.975317464,-0.0259544,-0.02629716,16.076,0.16076,467.5352536,,,,,
4/1/58,2927.395,7.981868228,0.006572267,0.006550764,16.123,0.16123,471.9838959,,,,,
7/1/58,2995.112,8.004736906,0.02313217,0.022868677,16.221,0.16221,485.8371175,,,,,
10/1/58,3065.141,8.027848851,0.023381096,0.023111945,16.298,0.16298,499.5566802,,,,,
1/1/59,3123.978,8.046862469,0.019195528,0.019013618,16.336,0.16336,510.3330461,,,,,
4/1/59,3194.429,8.069163634,0.022551695,0.022301165,16.361,0.16361,522.6405287,,,,,
7/1/59,3196.683,8.069868989,0.000705603,0.000705355,16.424,0.16424,525.0232159,,,,,
10/1/59,3205.79,8.072713829,0.002848891,0.00284484,16.489,0.16489,528.6027131,,,,,
1/1/60,3277.847,8.094942083,0.022477143,0.022228255,16.555,0.16555,542.6475709,,,,,
4/1/60,3260.177,8.089536767,-0.005390734,-0.005405316,16.597,0.16597,541.0915767,,,,,
7/1/60,3276.133,8.094419042,0.004894213,0.004882275,16.654,0.16654,545.6071898,,,,,
10/1/60,3234.087,8.081501941,-0.012834033,-0.012917101,16.703,0.16703,540.1895516,,,,,
1/1/61,3255.914,8.088228314,0.006749045,0.006726373,16.739,0.16739,545.0074445,,,,,
4/1/61,3311.181,8.105060202,0.016974343,0.016831888,16.778,0.16778,555.5499482,,,,,
7/1/61,3374.742,8.124074156,0.01919587,0.019013954,16.821,0.16821,567.6653518,,,,,
10/1/61,3440.924,8.143495319,0.019610981,0.019421163,16.874,0.16874,580.6215158,,,,,
1/1/62,3502.298,8.161174603,0.017836488,0.017679285,16.961,0.16961,594.0247638,,,,,
4/1/62,3533.947,8.170170656,0.009036638,0.008996052,16.989,0.16989,600.3822558,,,,,
7/1/62,3577.362,8.182380936,0.01228513,0.012210281,17.024,0.17024,609.0101069,,,,,
10/1/62,3589.128,8.185664555,0.003289016,0.003283619,17.059,0.17059,612.2693455,,,,,
1/1/63,3628.306,8.196521152,0.010915743,0.010856597,17.134,0.17134,621.67395,,,,,
4/1/63,3669.02,8.207679875,0.011221215,0.011158724,17.164,0.17164,629.7505928,,,,,
7/1/63,3749.681,8.229426049,0.021984345,0.021746173,17.187,0.17187,644.4576735,,,,,
10/1/63,3774.264,8.235960676,0.006556024,0.006534627,17.326,0.17326,653.9289806,,,,,
1/1/64,3853.835,8.256824035,0.021082521,0.02086336,17.381,0.17381,669.8350614,,,,,
4/1/64,3895.793,8.267652532,0.010887337,0.010828497,17.421,0.17421,678.6860985,,,,,
7/1/64,3956.657,8.283154756,0.015623007,0.015502224,17.49,0.1749,692.0193093,,,,,
10/1/64,3968.878,8.286238714,0.003088719,0.003083958,17.57,0.1757,697.3318646,,,,,
1/1/65,4064.915,8.310148112,0.024197519,0.023909397,17.658,0.17658,717.7826907,,,,,
4/1/65,4116.267,8.322701964,0.012632982,0.012553852,17.739,0.17739,730.1846031,,,,,
7/1/65,4207.782,8.344690947,0.022232523,0.021988983,17.808,0.17808,749.3218186,,,,,
10/1/65,4304.731,8.367469929,0.023040405,0.022778982,17.93,0.1793,771.8382683,,,,,
1/1/66,4409.518,8.391520665,0.024342288,0.024050736,18.046,0.18046,795.7416183,,,,,
4/1/66,4424.581,8.394930864,0.00341602,0.003410198,18.193,0.18193,804.9640213,,,,,
7/1/66,4462.053,8.403364253,0.008469051,0.008433389,18.369,0.18369,819.6345156,,,,,
10/1/66,4498.66,8.411534854,0.008204071,0.008170601,18.523,0.18523,833.2867918,,,,,
1/1/67,4538.498,8.420351399,0.008855526,0.008816546,18.6,0.186,844.160628,,,,,
4/1/67,4541.28,8.42096419,0.000612978,0.00061279,18.695,0.18695,848.992296,,,,,
